Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld,P/E,P/B
Su,2/23/20,,,,,24.5379,2.7029
,,,,,,,
Sa,2/22/20,,,,,24.5378,2.7029
Fr,2/21/20,,,,,24.5378,2.7029
Th,2/20/20,41170.12,8.393M,11.115M,1.1301,24.5378,2.7029
We,2/19/20,41323,5.597M,11.324M,1.1259,24.6289,2.713
Tu,2/18/20,40894.38,12.307M,11.396M,1.1377,24.3749,2.6848
Mo,2/17/20,41055.69,6.86M,11.094M,1.1333,24.4715,2.6954
Su,2/16/20,,,,,24.531,2.7087
,,,,,,,
Sa,2/15/20,,,,,24.5338,2.7087
Fr,2/14/20,41257.74,9.764M,11.293M,1.1173,24.5203,2.7087
Th,2/13/20,41459.79,9.12M,11.108M,1.1409,24.617,2.722
We,2/12/20,41565.9,9.551M,10.937M,1.138,24.6809,2.7281
Tu,2/11/20,41216.14,7.685M,10.962M,1.1477,24.54,2.7051
Mo,2/10/20,40979.62,15.216M,10.961M,1.1543,24.403,2.6896
Su,2/9/20,,,,,24.4502,2.7002
,,,,,,,
Sa,2/8/20,,,,,24.368,2.7002
Fr,2/7/20,41141.85,15.327M,10.541M,1.1204,24.3603,2.7002
Th,2/6/20,41306.03,14.998M,10.022M,1.1159,24.4426,2.711
We,2/5/20,41142.66,13.884M,9.652M,1.1497,24.3548,2.7003
Tu,2/4/20,40789.38,15.329M,9.166M,1.1597,24.1424,2.6771
Mo,2/3/20,39872.31,10.551M,8.553M,1.1863,23.611,2.6504
Su,2/2/20,,,,,23.5268,2.6413
,,,,,,,
Sa,2/1/20,39735.53,12.149M,8.791M,1.1921,23.5289,2.6413
Fr,1/31/20,40723.49,11.52M,8.686M,1.1632,24.1064,2.707
Th,1/30/20,40913.82,6.686M,8.796M,1.1578,24.1723,2.7726
We,1/29/20,41198.66,7.774M,8.87M,1.1498,24.3456,2.7919
Tu,1/28/20,40966.86,9.846M,9.565M,1.1563,26.4478,2.6422
Mo,1/27/20,41155.12,6.982M,9.7M,1.151,26.5694,2.6543
Su,1/26/20,,,,,26.8651,2.6839
,,,,,,,
Sa,1/25/20,,,,,26.8651,2.6839
Fr,1/24/20,41613.19,6.554M,9.818M,1.1383,26.8651,2.6839
Th,1/23/20,41386.4,9.936M,9.973M,1.1765,26.7187,2.6692
We,1/22/20,41115.38,7.66M,9.661M,1.1818,26.5437,2.6518
Tu,1/21/20,41323.81,8.919M,9.462M,1.1758,26.6783,2.6652
Mo,1/20/20,41528.91,7.535M,9.239M,1.17,26.8107,2.6784
Su,1/19/20,,,,,27.0796,2.7053
,,,,,,,
Sa,1/18/20,,,,,27.0796,2.7053
Fr,1/17/20,41945.37,9.453M,9.119M,1.1584,27.0796,2.7053
Th,1/16/20,41932.56,6.593M,8.897M,1.1588,27.0713,2.7045
We,1/15/20,41872.73,6.141M,8.834M,1.1604,27.0327,2.7006
Tu,1/14/20,41952.63,14.124M,8.715M,1.1582,27.0843,2.7058
Mo,1/13/20,41859.69,10.565M,8.189M,1.1608,27.0243,2.6998
Su,1/12/20,,,,,26.8564,2.683
,,,,,,,
Sa,1/11/20,,,,,26.8564,2.683
Fr,1/10/20,41599.72,13.166M,9.728M,1.168,26.8564,2.683
Th,1/9/20,41452.35,7.798M,11.069M,1.1722,26.7613,2.6735
We,1/8/20,40817.74,18.203M,12.168M,1.1904,26.3516,2.6326
Tu,1/7/20,40869.47,11.867M,12.22M,1.1889,26.385,2.6359
Mo,1/6/20,40676.63,8.749M,12.871M,1.1945,26.2605,2.6235
Su,1/5/20,,,,,26.7692,2.6743
,,,,,,,
Sa,1/4/20,,,,,26.7692,2.6743
Fr,1/3/20,41464.61,8.883M,14.146M,1.1818,26.7692,2.6743
Th,1/2/20,41626.64,5.252M,16.309M,1.1772,26.8738,2.6847
We,1/1/20,41306.02,4.678M,19.661M,1.1864,26.6668,2.6641
Tu,12/31/19,41253.74,5.58M,21.44M,1.1879,26.6331,2.6607
Mo,12/30/19,41558,5.739M,23.238M,1.1792,26.8295,2.6803
Su,12/29/19,,,,,26.8405,2.6814
,,,,,,,
Sa,12/28/19,,,,,26.8405,2.6814
Fr,12/27/19,41575.14,6.11M,25.06M,1.1787,26.8405,2.6814
Th,12/26/19,41163.76,5.648M,26.855M,1.1905,26.575,2.6549
We,12/25/19,,,,,26.767,2.6741
Tu,12/24/19,41461.26,4.356M,29.442M,1.1819,26.767,2.6741
Mo,12/23/19,41642.66,6.247M,31.399M,1.1768,26.8841,2.6858
Su,12/22/19,,,,,26.9092,2.6883
,,,,,,,
Sa,12/21/19,,,,,26.9092,2.6883
Fr,12/20/19,41681.54,33.639M,33.634M,1.182,26.9092,2.6883
Th,12/19/19,41673.92,33.29M,34.504M,1.1823,26.9043,2.6878
We,12/18/19,41558.57,24.273M,34.343M,1.1855,26.8298,2.6803
Tu,12/17/19,41352.17,18.986M,34.887M,1.1915,26.6966,2.667
Mo,12/16/19,40938.72,21.638M,35.808M,1.2035,26.4297,2.6404
Su,12/15/19,,,,,26.4755,2.6449
,,,,,,,
Sa,12/14/19,,,,,26.4755,2.6449
Fr,12/13/19,41009.71,27.874M,36.27M,1.2014,26.4755,2.6449
Th,12/12/19,40581.71,41.324M,35.858M,1.2141,26.1992,2.6173
We,12/11/19,40412.57,55.533M,34.556M,1.2192,26.09,2.6064
Tu,12/10/19,40239.88,31.361M,33.007M,1.2244,25.9785,2.5953
Mo,12/9/19,40487.43,32.554M,33.522M,1.2169,26.1383,2.6113
Su,12/8/19,,,,,26.111,2.6085
,,,,,,,
Sa,12/7/19,,,,,26.111,2.6085
Fr,12/6/19,40445.15,33.06M,33.266M,1.2182,26.111,2.6085
Th,12/5/19,40779.59,33.048M,32.778M,1.2082,26.3269,2.6301
We,12/4/19,40850.29,44.45M,32.425M,1.2061,26.3726,2.6347
Tu,12/3/19,40675.45,33.7M,31.976M,1.2113,26.2597,2.6234
Mo,12/2/19,40802.17,39.786M,31.698M,1.2075,26.3415,2.6316
Su,12/1/19,,,,,26.3361,2.631
,,,,,,,
Sa,11/30/19,,,,,26.3361,2.631
Fr,11/29/19,40793.81,46.682M,31.886M,1.2078,26.3361,2.631
Th,11/28/19,41130.17,30.878M,30.785M,1.1979,26.5533,2.6527
We,11/27/19,41020.61,32.429M,31.239M,1.2011,26.4825,2.6456
Tu,11/26/19,40821.3,32.808M,32.102M,1.207,26.3539,2.6328
Mo,11/25/19,40889.23,28.557M,34.086M,1.205,26.3977,2.6372
Su,11/24/19,,,,,26.0557,2.603
,,,,,,,
Sa,11/23/19,,,,,26.0557,2.603
Fr,11/22/19,40359.41,21.704M,35.981M,1.2208,26.0557,2.603
Th,11/21/19,40575.17,21.784M,40.391M,1.2143,26.195,2.6169
We,11/20/19,40651.64,32.311M,41.421M,1.212,26.2443,2.6218
Tu,11/19/19,40469.7,39.071M,42.635M,1.2174,26.1269,2.6101
Mo,11/18/19,40284.19,28.717M,40.629M,1.2231,26.0071,2.5981
Su,11/17/19,,,,,26.0539,2.6028
,,,,,,,
Sa,11/16/19,,,,,26.0539,2.6028
Fr,11/15/19,40356.69,25.751M,41.952M,1.2209,26.0539,2.6028
Th,11/14/19,40286.48,27.752M,42.678M,1.223,26.0086,2.5983
We,11/13/19,40116.06,37.712M,43.561M,1.2282,26.0253,2.6413
Tu,11/12/19,,,,,26.1739,2.6564
Mo,11/11/19,40345.08,29.528M,44.678M,1.2212,26.1739,2.6564
Su,11/10/19,,,,,26.16,2.655
,,,,,,,
Sa,11/9/19,,,,,26.16,2.655
Fr,11/8/19,40323.61,42.607M,45.534M,1.2219,26.16,2.655
Th,11/7/19,40653.74,30.169M,45.833M,1.2119,26.3742,2.6767
We,11/6/19,40469.78,37.682M,45.656M,1.2174,26.2543,2.6646
Tu,11/5/19,40248.23,45.381M,44.893M,1.2988,26.1106,2.65
Mo,11/4/19,40301.96,62.559M,43.77M,1.2971,26.1454,2.6536
Su,11/3/19,,,,,26.0566,2.6446
,,,,,,,
Sa,11/2/19,,,,,26.0566,2.6446
Fr,11/1/19,40165.03,56.984M,42.225M,1.3015,26.0566,2.6446
Th,10/31/19,40129.05,87.854M,40.243M,1.3026,25.8255,2.6649
We,10/30/19,40051.87,37.242M,36.812M,1.3052,25.7758,2.6598
Tu,10/29/19,39831.84,50.519M,37.023M,1.3118,25.6342,2.6452
Mo,10/28/19,,,,,25.2599,2.6066
Su,10/27/19,39250.2,8.975M,37.181M,1.3313,25.2599,2.6066
,,,,,,,
Sa,10/26/19,,,,,25.1362,2.5938
Fr,10/25/19,39058.06,48.57M,40.527M,1.3378,24.7853,2.6054
Th,10/24/19,39020.39,36.633M,42.315M,1.3391,24.7614,2.6029
We,10/23/19,39058.83,40.999M,43.14M,1.3378,24.7858,2.6054
Tu,10/22/19,38963.84,54.47M,43.02M,1.3282,24.7255,2.5991
Mo,10/21/19,,,,,24.9378,2.6214
Su,10/20/19,,,,,24.9324,2.6214
,,,,,,,
Sa,10/19/19,,,,,24.9178,2.6214
Fr,10/18/19,39298.38,42.367M,41.605M,1.3169,24.9178,2.6214
Th,10/17/19,39052.06,47.097M,40.699M,1.3252,24.7617,2.605
We,10/16/19,38598.99,27.515M,39.599M,1.2312,24.4744,2.5747
Tu,10/15/19,38506.09,26.226M,41.508M,1.2341,24.4155,2.5685
Mo,10/14/19,38214.47,28.534M,43.828M,1.2435,24.2306,2.5491
Su,10/13/19,,,,,24.1751,2.5433
,,,,,,,
Sa,10/12/19,,,,,24.1751,2.5433
Fr,10/11/19,38127.08,39.385M,44.043M,1.2464,24.1751,2.5433
Th,10/10/19,37880.4,27.257M,43.112M,1.2545,24.0187,2.5268
We,10/9/19,38177.95,36.39M,42.661M,1.2447,24.2074,2.5467
Tu,10/8/19,,,,,23.7978,2.5036
Mo,10/7/19,37531.98,40.413M,41.561M,1.2662,23.7978,2.5036
Su,10/6/19,,,,,23.8874,2.513
,,,,,,,
Sa,10/5/19,,,,,23.8874,2.513
Fr,10/4/19,37673.31,52.891M,41.151M,1.2644,23.8874,2.513
Th,10/3/19,38106.87,59.167M,39.455M,1.25,24.1623,2.5419
We,10/2/19,,,,,24.2882,2.5552
Tu,10/1/19,38305.41,75.384M,37.955M,1.2436,24.2882,2.5552
Mo,9/30/19,38667.33,49.011M,34.617M,1.2319,24.5177,2.5793
Su,9/29/19,,,,,24.6161,2.5897
,,,,,,,
Sa,9/28/19,,,,,24.6161,2.5897
Fr,9/27/19,38822.57,39.201M,32.886M,1.227,24.6161,2.5897
Th,9/26/19,38989.74,33.231M,32.101M,1.2217,24.7221,2.6008
We,9/25/19,38593.52,28.777M,31.595M,1.2343,24.4712,2.5744
Tu,9/24/19,39097.14,30.599M,31.248M,1.2184,24.7931,2.608
Mo,9/23/19,39090.03,56.154M,31.436M,1.2186,24.7885,2.6075
Su,9/22/19,,,,,24.1167,2.5358
,,,,,,,
Sa,9/21/19,,,,,24.1485,2.5358
Fr,9/20/19,38014.62,61.032M,29.805M,1.2521,24.1485,2.5358
Th,9/19/19,36093.47,31.747M,27.646M,1.3188,22.9281,2.4076
We,9/18/19,36563.88,25.43M,27.96M,1.3118,23.2162,2.439
Tu,9/17/19,36481.09,20.485M,28.637M,1.3148,23.1636,2.4335
Mo,9/16/19,37123.31,19.893M,29.829M,1.2921,23.5714,2.4763
Su,9/15/19,,,,,24.5163,2.4938
,,,,,,,
Sa,9/14/19,,,,,24.5163,2.4938
Fr,9/13/19,37384.99,34.256M,30.707M,1.283,24.5163,2.4938
Th,9/12/19,37104.28,27.455M,30.325M,1.2927,24.3322,2.475
We,9/11/19,37270.82,36.671M,29.887M,1.2869,24.4414,2.4861
Tu,9/10/19,,,,,24.3592,2.4778
Mo,9/9/19,37145.45,25.318M,28.619M,1.2913,24.3592,2.4778
Su,9/8/19,,,,,24.2518,2.4669
,,,,,,,
Sa,9/7/19,,,,,24.2518,2.4669
Fr,9/6/19,36981.77,23.046M,28.673M,1.297,24.2518,2.4669
Th,9/5/19,36644.42,27.416M,28.636M,1.3089,24.0306,2.4444
We,9/4/19,36724.74,25.648M,28.714M,1.3061,24.0833,2.4497
Tu,9/3/19,36562.91,23.572M,28.883M,1.3119,23.9772,2.4389
Mo,9/2/19,,,,,24.4816,2.4903
Su,9/1/19,,,,,24.4816,2.4903
,,,,,,,
Sa,8/31/19,,,,,24.4816,2.4903
Fr,8/30/19,37332.79,33.417M,28.965M,1.2864,24.4816,2.4903
Th,8/29/19,37068.93,31.683M,28.477M,1.2955,24.3086,2.4727
We,8/28/19,37451.84,28.645M,28.113M,1.2823,24.5193,2.4982
Tu,8/27/19,37641.27,36.469M,27.985M,1.2758,24.6433,2.5109
Mo,8/26/19,37494.12,35.58M,27.485M,1.2808,24.547,2.501
Su,8/25/19,,,,,24.0278,2.4481
,,,,,,,
Sa,8/24/19,,,,,24.0278,2.4481
Fr,8/23/19,36701.16,38.366M,26.562M,1.3085,24.0278,2.4481
Th,8/22/19,36472.93,33.06M,25.874M,1.3167,23.8784,2.4329
We,8/21/19,37060.37,28.536M,25.237M,1.2903,24.2728,2.4721
Tu,8/20/19,37328.01,20.872M,24.788M,1.2811,24.4481,2.49
Mo,8/19/19,37402.49,17.663M,25.05M,1.2764,24.4968,2.4949
Su,8/18/19,,,,,24.4627,2.4915
,,,,,,,
Sa,8/17/19,,,,,24.4627,2.4915
Fr,8/16/19,37350.33,26.121M,25.113M,1.28,24.4627,2.4915
Th,8/15/19,,,,,24.4373,2.4889
We,8/14/19,37311.53,22.486M,24.509M,1.2813,24.4373,2.4889
Tu,8/13/19,36958.16,28.586M,24.339M,1.2936,24.2058,2.4653
Mo,8/12/19,,,,,24.6144,2.5069
Su,8/11/19,,,,,24.6144,2.5069
,,,,,,,
Sa,8/10/19,,,,,24.6144,2.5069
Fr,8/9/19,37581.91,28.194M,24.013M,1.2671,24.6144,2.5069
Th,8/8/19,37327.36,24.791M,23.454M,1.2757,24.4476,2.4899
We,8/7/19,36690.5,26.107M,23.455M,1.2979,24.0305,2.4474
Tu,8/6/19,36976.85,26.217M,23.323M,1.2878,24.1582,2.4665
Mo,8/5/19,36699.84,26.727M,23.304M,1.2976,23.9773,2.4481
Su,8/4/19,,,,,24.2506,2.476
,,,,,,,
Sa,8/3/19,,,,,24.2506,2.476
Fr,8/2/19,37118.22,28.971M,22.762M,1.2829,24.1894,2.476
Th,8/1/19,37018.32,21.739M,21.716M,1.2924,25.0259,2.9924
We,7/31/19,37481.12,28.035M,21.272M,1.248,25.2531,3.0298
Tu,7/30/19,37397.24,23.512M,20.427M,1.2508,25.1438,3.0233
Mo,7/29/19,37686.37,21.792M,20.152M,1.2412,25.337,3.0466
Su,7/28/19,,,,,25.4691,3.0625
,,,,,,,
Sa,7/27/19,,,,,25.4691,3.0625
Fr,7/26/19,37882.79,24.809M,20.21M,1.2348,25.4691,3.0625
Th,7/25/19,37830.98,18.6M,20.341M,1.2365,25.4343,3.0583
We,7/24/19,37847.65,17.073M,20.098M,1.2359,25.4455,3.0597
Tu,7/23/19,37982.74,19.925M,19.908M,1.2252,25.5363,3.0706
Mo,7/22/19,38031.13,23.704M,19.602M,1.2237,25.5843,3.0751
Su,7/21/19,,,,,25.5546,3.0534
,,,,,,,
Sa,7/20/19,,,,,25.5546,3.0534
Fr,7/19/19,38337.01,19.81M,18.762M,1.2221,25.5549,3.0536
Th,7/18/19,38897.46,24.806M,18.208M,1.2002,25.9285,3.0982
We,7/17/19,39215.64,24.127M,17.459M,1.1881,26.1406,3.1236
Tu,7/16/19,39131.04,25.928M,16.882M,1.1907,26.0842,3.1168
Mo,7/15/19,38896.71,18.592M,15.928M,1.1978,25.928,3.0982
Su,7/14/19,,,,,25.821,3.0854
,,,,,,,
Sa,7/13/19,,,,,25.821,3.0854
Fr,7/12/19,38736.23,13.293M,15.484M,1.2028,25.821,3.0854
Th,7/11/19,38823.11,15.067M,15.668M,1.1998,25.8789,3.0923
We,7/10/19,38557.04,15.362M,16.042M,1.2069,25.7016,3.0711
Tu,7/9/19,38730.82,19.393M,16.29M,1.2015,25.8174,3.085
Mo,7/8/19,38720.57,22.665M,16.215M,1.2018,25.8106,3.0842
Su,7/7/19,,,,,26.339,3.1473
,,,,,,,
Sa,7/6/19,,,,,26.339,3.1473
Fr,7/5/19,39513.39,26.776M,15.578M,1.1777,26.339,3.1473
Th,7/4/19,39908.06,14.944M,15.206M,1.166,26.5957,3.1787
We,7/3/19,39839.25,14.228M,15.709M,1.158,26.4601,3.1866
Tu,7/2/19,39816.48,15.333M,15.565M,1.1587,26.4264,3.1847
Mo,7/1/19,39686.5,11.105M,15.518M,1.1625,26.3402,3.1743
Su,6/30/19,,,,,26.1465,3.151
,,,,,,,
Sa,6/29/19,,,,,26.1465,3.151
Fr,6/28/19,39394.64,11.502M,15.888M,1.1711,26.1216,3.1487
Th,6/27/19,39586.41,13.569M,16.139M,1.1654,26.2488,3.164
We,6/26/19,39592.08,15.468M,16.521M,1.1652,26.2525,3.1644
Tu,6/25/19,39434.94,11.619M,16.311M,1.1699,26.1483,3.1519
Mo,6/24/19,39122.96,11.932M,17.917M,1.1792,25.9415,3.1269
Su,6/23/19,,,,,25.9874,3.1327
,,,,,,,
Sa,6/22/19,,,,,25.9874,3.1327
Fr,6/21/19,39194.49,16.056M,18.294M,1.2041,25.9874,3.1327
Th,6/20/19,39601.63,20.679M,18.423M,1.1917,26.2574,3.1652
We,6/19/19,39112.74,19.09M,17.924M,1.194,25.9332,3.1261
Tu,6/18/19,39046.34,18.262M,17.707M,1.1961,25.8892,3.1208
Mo,6/17/19,38960.79,13.102M,17.592M,1.1987,25.8344,3.114
Su,6/16/19,,,,,26.1601,3.1533
,,,,,,,
Sa,6/15/19,,,,,26.1601,3.1533
Fr,6/14/19,39452.07,21.201M,17.894M,1.1838,26.1601,3.1533
Th,6/13/19,39741.36,22.492M,18.415M,1.2222,26.3549,3.1764
We,6/12/19,39756.81,12.06M,17.99M,1.2175,26.2006,3.1776
Tu,6/11/19,39950.46,14.635M,18.745M,1.2116,26.3283,3.1931
Mo,6/10/19,39784.52,16.655M,19.582M,1.2167,26.2189,3.1798
Su,6/9/19,,,,,26.1078,3.1663
,,,,,,,
Sa,6/8/19,,,,,26.1078,3.1663
Fr,6/7/19,39615.9,15.271M,19.767M,1.2219,26.1078,3.1663
Th,6/6/19,39529.72,19.299M,19.832M,1.2245,26.051,3.1595
We,6/5/19,,,,,26.416,3.2037
Tu,6/4/19,40083.54,12.314M,19.881M,1.2076,26.416,3.2037
Mo,6/3/19,40267.62,35.716M,20.273M,1.1931,26.5373,3.2184
Su,6/2/19,,,,,26.1793,3.1742
,,,,,,,
Sa,6/1/19,,,,,26.1793,3.1742
Fr,5/31/19,39714.2,17.573M,19.119M,1.213,26.1793,3.1742
Th,5/30/19,39831.97,18.004M,19.303M,1.2094,26.2569,3.1836
We,5/29/19,39502.05,13.193M,19.159M,1.2195,25.9689,3.1549
Tu,5/28/19,39749.73,15.831M,19.179M,1.2119,26.1732,3.1746
Mo,5/27/19,39683.29,16.531M,19.199M,1.2139,26.0921,3.1693
Su,5/26/19,,,,,25.9295,3.1495
,,,,,,,
Sa,5/25/19,,,,,25.9295,3.1495
Fr,5/24/19,39434.72,17.638M,19.018M,1.2215,26.014,3.1495
Th,5/23/19,38811.39,29.02M,18.863M,1.2412,25.6028,3.0997
We,5/22/19,39110.21,16.109M,18.726M,1.2317,25.8,3.1236
Tu,5/21/19,38969.8,23.393M,19.78M,1.2232,25.6736,3.1124
Mo,5/20/19,39352.67,27.191M,19.41M,1.2113,25.9258,3.1429
Su,5/19/19,,,,,24.5557,3.0294
,,,,,,,
Sa,5/18/19,,,,,24.5557,3.0294
Fr,5/17/19,37930.77,19.427M,18.587M,1.2567,24.5557,3.0294
Th,5/16/19,37393.48,16.244M,18.337M,1.2748,24.2316,2.9864
We,5/15/19,37114.88,20.036M,18.057M,1.2844,24.0721,2.9642
Tu,5/14/19,37318.53,18.194M,17.745M,1.2773,24.2041,2.9805
Mo,5/13/19,37090.82,18.404M,17.529M,1.2852,24.0565,2.9623
Su,5/12/19,,,,,24.3608,2.9808
,,,,,,,
Sa,5/11/19,,,,,24.3608,2.9808
Fr,5/10/19,37462.99,20.336M,17.292M,1.2724,24.3608,2.9808
Th,5/9/19,37558.91,15.839M,17.368M,1.2692,24.4044,2.9884
We,5/8/19,37789.13,13.49M,17.48M,1.2614,24.5709,3.0067
Tu,5/7/19,38276.63,16.133M,17.573M,1.2454,24.8878,3.0455
Mo,5/6/19,38600.34,13.819M,17.61M,1.2349,25.0983,3.0713
Su,5/5/19,,,,,25.1503,3.1001
,,,,,,,
Sa,5/4/19,,,,,25.1503,3.1001
Fr,5/3/19,38963.26,15.305M,17.728M,1.2234,25.1503,3.1001
Th,5/2/19,38981.43,26.962M,17.428M,1.2229,25.1321,3.1016
We,5/1/19,,,,,25.1644,3.1056
Tu,4/30/19,39031.55,31.928M,16.724M,1.2213,25.1653,3.1056
Mo,4/29/19,,,,,25.1663,3.1084
Su,4/28/19,,,,,25.1622,3.1084
,,,,,,,
Sa,4/27/19,,,,,25.1622,3.1084
Fr,4/26/19,39067.33,17.839M,15.486M,1.2202,25.1622,3.1084
Th,4/25/19,38730.86,14.84M,15.467M,1.2308,24.7084,3.0816
We,4/24/19,39054.68,15.689M,15.833M,1.2206,24.5609,3.1074
Tu,4/23/19,38564.88,12.045M,16.148M,1.2361,24.2546,3.0684
Mo,4/22/19,38645.18,15.35M,16.362M,1.2331,24.3074,3.0748
Su,4/21/19,,,,,24.6116,3.1142
,,,,,,,
Sa,4/20/19,,,,,24.612,3.1142
Fr,4/19/19,,,,,24.7193,3.1142
Th,4/18/19,39140.28,14.963M,16.439M,1.2175,24.718,3.1142
We,4/17/19,,,,,24.7743,3.125
Tu,4/16/19,39275.64,14.847M,16.736M,1.2133,24.7747,3.125
Mo,4/15/19,38905.84,21.47M,16.748M,1.2248,24.4676,3.0957
Su,4/14/19,,,,,24.3812,3.0847
,,,,,,,
Sa,4/13/19,,,,,24.3812,3.0847
Fr,4/12/19,38767.11,17.513M,16.48M,1.2292,24.3812,3.0847
Th,4/11/19,38607.01,14.897M,16.567M,1.2343,24.2797,3.0719
We,4/10/19,38585.35,16.68M,16.649M,1.235,24.266,3.0702
Tu,4/9/19,38939.22,15.587M,16.575M,1.2238,24.4751,3.0984
Mo,4/8/19,38700.53,10.812M,16.626M,1.2313,24.3232,3.0794
Su,4/7/19,,,,,24.4243,3.0922
,,,,,,,
Sa,4/6/19,,,,,24.4243,3.0922
Fr,4/5/19,38862.23,16.406M,17.026M,1.2262,24.4243,3.0922
Th,4/4/19,38684.72,13.353M,17.003M,1.2318,24.2842,3.0781
We,4/3/19,38877.12,17.546M,17.558M,1.2257,24.3641,3.0934
Tu,4/2/19,39056.65,20.335M,17.73M,1.2201,24.4685,3.1077
Mo,4/1/19,38871.87,20.418M,17.361M,1.2259,24.3535,3.093
Su,3/31/19,,,,,27.1587,3.2641
,,,,,,,
Sa,3/30/19,,,,,27.1587,3.2641
Fr,3/29/19,38672.91,15.258M,17.004M,1.2322,27.1587,3.2641
Th,3/28/19,38545.72,16.506M,17.142M,1.2363,27.0694,3.2533
We,3/27/19,38132.88,19.408M,17.133M,1.2496,26.7927,3.2185
Tu,3/26/19,38233.41,15.033M,17.302M,1.2464,26.8633,3.227
Mo,3/25/19,37808.91,17.45M,17.449M,1.253,26.5651,3.1911
Su,3/24/19,,,,,26.815,3.2212
,,,,,,,
Sa,3/23/19,,,,,26.815,3.2212
Fr,3/22/19,38164.61,18.822M,17.104M,1.2413,26.815,3.2212
Th,3/21/19,,,,,26.9711,3.2399
We,3/20/19,38386.75,16.116M,17.175M,1.2136,26.9711,3.2399
Tu,3/19/19,38363.47,15.575M,17.333M,1.3155,26.9547,3.238
Mo,3/18/19,38095.07,16.356M,17.106M,1.3248,26.7661,3.2153
Su,3/17/19,,,,,26.7164,3.2093
,,,,,,,
Sa,3/16/19,,,,,26.7164,3.2093
Fr,3/15/19,38024.32,16.811M,17.283M,1.3857,26.7164,3.2093
Th,3/14/19,37754.89,16.062M,16.95M,1.3955,26.5271,3.1866
We,3/13/19,37752.17,21.673M,16.736M,1.3753,26.5252,3.1864
Tu,3/12/19,37535.66,20.126M,15.986M,1.3743,26.3731,3.1681
Mo,3/11/19,37054.1,14.802M,15.737M,1.3921,26.0347,3.1274
Su,3/10/19,,,,,25.7659,3.0951
,,,,,,,
Sa,3/9/19,,,,,25.7659,3.0951
Fr,3/8/19,36671.43,15.06M,16.331M,1.4066,25.7659,3.0951
Th,3/7/19,36725.42,17.324M,17.559M,1.4046,25.8038,3.0997
We,3/6/19,36636.1,16.382M,17.433M,1.408,25.7411,3.0922
Tu,3/5/19,36442.54,21.939M,17.182M,1.4155,25.6051,3.0758
Mo,3/4/19,,,,,25.339,3.0439
Su,3/3/19,,,,,25.339,3.0439
,,,,,,,
Sa,3/2/19,,,,,25.339,3.0439
Fr,3/1/19,36063.81,17.236M,17.038M,1.4303,25.339,3.0439
Th,2/28/19,35867.44,12.276M,17.376M,1.4382,25.201,3.0273
We,2/27/19,35905.43,19.886M,17.557M,1.4134,25.2277,3.0305
Tu,2/26/19,35973.71,18.487M,17.189M,1.4107,25.2756,3.0363
Mo,2/25/19,36213.38,12.167M,16.926M,1.4014,25.444,3.0565
Su,2/24/19,,,,,25.2038,3.0276
,,,,,,,
Sa,2/23/19,,,,,25.2038,3.0276
Fr,2/22/19,35871.48,19.013M,17.186M,1.4148,25.2038,3.0276
Th,2/21/19,35898.35,11.819M,18.105M,1.4137,25.2227,3.0299
We,2/20/19,35756.26,12.857M,18.596M,1.4193,25.1229,3.0179
Tu,2/19/19,35352.61,10.414M,19.043M,1.4355,24.8393,2.9838
Mo,2/18/19,35498.44,16.394M,19.495M,1.4296,24.9417,2.9961
Su,2/17/19,,,,,25.1599,3.0223
,,,,,,,
Sa,2/16/19,,,,,25.1599,3.0223
Fr,2/15/19,35808.95,23.706M,19.436M,1.4172,25.1599,3.0223
Th,2/14/19,35876.22,33.477M,19.438M,1.4146,25.2071,3.028
We,2/13/19,36034.11,15.445M,18.79M,1.4084,25.6804,3.0414
Tu,2/12/19,36153.62,12.612M,18.739M,1.4037,25.7656,3.0514
Mo,2/11/19,36395.03,19.783M,19.082M,1.3944,25.9376,3.0718
Su,2/10/19,,,,,26.0456,3.0846
,,,,,,,
Sa,2/9/19,,,,,26.0456,3.0846
Fr,2/8/19,36546.48,22.303M,19.052M,1.3886,26.0456,3.0846
Th,2/7/19,36971.09,14.989M,18.992M,1.3727,26.3482,3.1204
We,2/6/19,36975.23,14.362M,19.402M,1.3725,26.3511,3.1208
Tu,2/5/19,36616.81,14.541M,19.569M,1.3788,26.0957,3.0905
Mo,2/4/19,36582.74,16.074M,20.244M,1.3801,26.0714,3.0877
Su,2/3/19,,,,,25.9907,3.0781
,,,,,,,
Sa,2/2/19,,,,,25.9907,3.0781
Fr,2/1/19,36469.43,32.799M,20.825M,1.3844,25.9907,3.0781
Th,1/31/19,36256.69,19.187M,19.887M,1.3925,25.8391,3.0601
We,1/30/19,35591.25,19.561M,19.799M,1.4185,25.3645,3.004
Tu,1/29/19,35592.5,17.186M,19.888M,1.4288,24.8507,3.0041
Mo,1/28/19,35656.7,15.509M,19.857M,1.4263,24.8955,3.0095
Su,1/27/19,,,,,25.0808,3.0406
,,,,,,,
Sa,1/26/19,,,,,25.0808,3.0406
Fr,1/25/19,36025.54,23.741M,19.842M,1.4117,25.0808,3.0406
Th,1/24/19,36195.1,23.76M,19.349M,1.405,25.1989,3.0549
We,1/23/19,36108.47,14.677M,18.959M,1.3664,25.1385,3.0476
Tu,1/22/19,36444.64,17.76M,18.991M,1.3538,25.3726,3.076
